ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC,Saved Model
Logistic Regression,0.8350327749453751,0.8009303947120147,0.36771025168815225,0.6454741379310345,0.4685177942901838,0.40052236575204386,models\Logistic_Regression.joblib
Naive Bayes (Gaussian),0.8049283806749211,0.7754990654040286,0.31717824448034465,0.634698275862069,0.4229802513464991,0.348984982862235,models\Naive_Bayes_Gaussian.joblib
XGBoost,0.902282107307599,0.8074808216189443,0.648910411622276,0.28879310344827586,0.39970171513795677,0.389671598293646,models\XGBoost.joblib
Random Forest,0.8949987861131342,0.7844024187461672,0.567741935483871,0.28448275862068967,0.37903804737975594,0.35206401118147385,models\Random_Forest.joblib
kNN,0.9003398883224083,0.7755735087739988,0.6457765667574932,0.25538793103448276,0.36602316602316604,0.3641149995423216,models\kNN.joblib
Decision Tree,0.8468074775430929,0.6191699048304166,0.3215811965811966,0.32435344827586204,0.3229613733905579,0.23659856840537621,models\Decision_Tree.joblib
